Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,списание средств,1239.59,наличный,Минск,БелАгропромбанк-XCRK-986,26-07-2000,07:11:04,неправильный ввод пин-кода,да,47.94
физ. лицо,списание средств,2507.97,безналичный,Витебск,Приорбанк-HVVW-558,26-12-2019,17:53:16,неправильный ввод пин-кода,да,223.33
юр. лицо,списание средств,980.3,безналичный,Минск,МаксБанк-BAYC-647,29-01-2003,11:28:54,неправильный ввод пин-кода,да,54.38
физ. лицо,списание средств,3438.48,наличный,Гродно,Приорбанк-QHJX-021,06-07-2010,09:27:45,недостаточно средств,да,59.25
юр. лицо,списание средств,2516.58,наличный,Могилев,БелАгропромбанк-AFMW-783,21-11-2021,02:49:07,неправильный ввод пин-кода,да,52.33
физ. лицо,списание средств,2051.97,безналичный,Минск,МаксБанк-JFNN-910,22-11-2001,07:24:06,недостаточно средств,да,63.27
юр. лицо,списание средств,2913.64,безналичный,Гродно,Приорбанк-WMFE-271,10-05-2017,09:52:59,неправильный ввод пин-кода,да,82.9
юр. лицо,списание средств,3839.35,безналичный,Гомель,Приорбанк-MVWE-694,11-01-2007,01:57:47,неправильный ввод пин-кода,да,158.45
юр. лицо,списание средств,1629.68,безналичный,Гродно,Беларусбанк-AJER-367,13-01-2007,19:59:52,успешно,да,34.88
юр. лицо,списание средств,2966.55,наличный,Гомель,МаксБанк-PLPS-991,23-03-2003,18:17:11,неправильный ввод пин-кода,да,171.86
физ. лицо,списание средств,4551.1,безналичный,Могилев,БелАгропромбанк-XTJW-461,24-10-2018,18:15:42,успешно,да,221.55
юр. лицо,списание средств,816.31,безналичный,Минск,Приорбанк-NOEQ-554,03-03-2005,16:26:18,недостаточно средств,да,50.04
юр. лицо,списание средств,703.42,безналичный,Могилев,Белинвестбанк-VJQQ-122,24-02-2018,01:46:35,неправильный ввод пин-кода,да,17.16
физ. лицо,списание средств,3310.26,безналичный,Могилев,Приорбанк-CTDV-519,01-11-2019,05:25:14,успешно,да,160.45
юр. лицо,списание средств,3583.31,безналичный,Гродно,БелАгропромбанк-DEPJ-723,26-11-2014,14:37:48,успешно,да,314.76
физ. лицо,списание средств,2551.06,безналичный,Гомель,МаксБанк-FFPC-944,28-04-2013,21:28:28,успешно,да,91.48
физ. лицо,списание средств,70.56,наличный,Гродно,МаксБанк-ASIP-137,21-08-2001,17:38:30,успешно,да,0.81
юр. лицо,списание средств,1526.8,наличный,Могилев,Приорбанк-JHUA-853,06-11-2021,07:41:04,неправильный ввод пин-кода,да,125.02
юр. лицо,списание средств,1420.56,наличный,Гомель,Приорбанк-HJTI-012,28-11-2006,15:25:59,неправильный ввод пин-кода,да,113.41
юр. лицо,списание средств,616.7,безналичный,Могилев,Приорбанк-DDZR-748,07-07-2010,08:07:16,успешно,да,29.79
физ. лицо,списание средств,2738.5,безналичный,Брест,МаксБанк-WPCG-887,24-05-2003,16:02:11,успешно,да,105.39
физ. лицо,списание средств,2149.75,наличный,Гродно,Беларусбанк-DZPP-240,26-06-2014,17:09:12,недостаточно средств,да,188.1
физ. лицо,списание средств,2825.36,безналичный,Витебск,МаксБанк-RTHA-597,05-09-2021,10:46:56,успешно,да,256.31
физ. лицо,списание средств,3517.79,наличный,Витебск,МаксБанк-SNXY-644,09-04-2023,13:38:52,неправильный ввод пин-кода,да,351.04
физ. лицо,списание средств,4791.63,наличный,Витебск,Белинвестбанк-KWKW-170,03-07-2012,02:59:09,неправильный ввод пин-кода,да,358.03
физ. лицо,списание средств,2337.1,наличный,Гродно,БелАгропромбанк-PMAK-197,21-12-2003,01:56:07,недостаточно средств,да,153.79
юр. лицо,списание средств,2040.93,наличный,Гродно,Приорбанк-LVAU-170,24-09-2004,17:25:34,недостаточно средств,да,186.83
юр. лицо,списание средств,2038.43,наличный,Витебск,Приорбанк-ZDYZ-363,14-10-2016,21:23:53,успешно,да,73.81
физ. лицо,списание средств,341.05,безналичный,Брест,Белинвестбанк-CCYN-652,05-05-2003,23:38:14,неправильный ввод пин-кода,да,12.95
физ. лицо,списание средств,1670.63,наличный,Гомель,Белинвестбанк-UYMO-302,31-01-2022,10:01:32,недостаточно средств,да,166.01
физ. лицо,списание средств,3156.15,безналичный,Могилев,БелАгропромбанк-KZMT-226,26-04-2019,12:14:11,недостаточно средств,да,249.78
физ. лицо,списание средств,3307.3,наличный,Могилев,Беларусбанк-RKMS-598,07-05-2022,16:03:24,успешно,да,248.79
физ. лицо,списание средств,4128.92,наличный,Витебск,МаксБанк-HSER-398,04-11-2017,19:28:39,успешно,да,269.18
юр. лицо,списание средств,4515.07,безналичный,Гомель,БелАгропромбанк-LVFC-146,11-10-2020,14:26:46,успешно,да,246.56
физ. лицо,списание средств,1221.33,наличный,Могилев,Приорбанк-GVSC-531,24-10-2011,05:33:29,недостаточно средств,да,77.31
юр. лицо,списание средств,4395.87,наличный,Гродно,Беларусбанк-LJOK-920,02-04-2009,17:21:23,неправильный ввод пин-кода,да,252.64
физ. лицо,списание средств,1227.45,наличный,Минск,БелАгропромбанк-RYOQ-882,06-02-2019,20:13:23,неправильный ввод пин-кода,да,86.11
юр. лицо,списание средств,3808.61,безналичный,Гродно,БелАгропромбанк-OQUH-746,22-11-2004,20:43:52,недостаточно средств,да,272.51
физ. лицо,списание средств,233.39,безналичный,Могилев,Приорбанк-ZHHL-576,11-03-2015,00:28:18,успешно,да,8.77
юр. лицо,списание средств,1837.1,наличный,Минск,БелАгропромбанк-ENEI-775,17-08-2009,21:52:37,неправильный ввод пин-кода,да,179.34
юр. лицо,списание средств,472.39,безналичный,Брест,Белинвестбанк-XUGV-437,02-06-2015,06:39:55,успешно,да,11.49
юр. лицо,списание средств,1168.45,безналичный,Брест,МаксБанк-ILCY-932,17-12-2013,14:54:31,неправильный ввод пин-кода,да,79.56
юр. лицо,списание средств,4714.31,безналичный,Брест,БелАгропромбанк-BFCW-435,31-05-2024,05:43:35,успешно,да,189.0
юр. лицо,списание средств,3776.04,безналичный,Витебск,БелАгропромбанк-ZZYU-597,03-04-2007,13:51:15,успешно,да,216.36
физ. лицо,списание средств,3535.38,безналичный,Могилев,Приорбанк-SBNR-297,20-10-2015,17:14:18,успешно,да,346.37
физ. лицо,списание средств,4112.61,безналичный,Минск,МаксБанк-TBOP-971,05-10-2019,13:12:44,недостаточно средств,да,292.06
физ. лицо,списание средств,3274.3,наличный,Могилев,БелАгропромбанк-VFUU-819,26-11-2024,08:15:27,успешно,да,252.54
юр. лицо,списание средств,1615.92,безналичный,Гродно,Приорбанк-CRRU-376,23-02-2012,02:29:08,недостаточно средств,да,58.38
юр. лицо,списание средств,3809.08,безналичный,Витебск,БелАгропромбанк-HXZG-655,07-12-2024,17:11:43,неправильный ввод пин-кода,да,342.04
юр. лицо,списание средств,1428.22,безналичный,Гомель,МаксБанк-IFDE-821,17-12-2003,02:04:06,успешно,да,68.78
юр. лицо,списание средств,2956.05,наличный,Гомель,МаксБанк-RQQH-904,21-07-2005,16:14:37,недостаточно средств,да,162.52
физ. лицо,списание средств,2760.53,наличный,Минск,Беларусбанк-LUXF-603,16-06-2024,21:19:26,недостаточно средств,да,269.89
физ. лицо,списание средств,1700.73,наличный,Брест,БелАгропромбанк-WKJV-275,03-04-2006,19:26:29,успешно,да,113.85
юр. лицо,списание средств,2876.9,наличный,Брест,Приорбанк-XWEX-637,28-02-2022,05:39:18,неправильный ввод пин-кода,да,254.01
физ. лицо,списание средств,1886.66,наличный,Минск,Белинвестбанк-THQI-991,15-08-2020,17:54:35,успешно,да,72.91
юр. лицо,списание средств,2658.34,наличный,Минск,Беларусбанк-WQDM-986,13-07-2022,18:21:37,неправильный ввод пин-кода,да,165.64
юр. лицо,списание средств,3908.5,безналичный,Гомель,Белинвестбанк-JKEJ-343,26-01-2023,10:16:25,неправильный ввод пин-кода,да,370.63
физ. лицо,списание средств,1859.88,безналичный,Минск,БелАгропромбанк-YGJD-051,24-02-2021,09:11:51,успешно,да,71.14
физ. лицо,списание средств,3003.45,наличный,Гомель,Беларусбанк-XFMQ-321,23-09-2015,19:12:24,недостаточно средств,да,65.08
юр. лицо,списание средств,2084.2,наличный,Витебск,Приорбанк-WOEX-618,20-04-2024,23:49:31,успешно,да,113.58
юр. лицо,списание средств,915.55,безналичный,Гродно,БелАгропромбанк-LUTE-029,19-06-2024,17:34:08,неправильный ввод пин-кода,да,84.62
юр. лицо,списание средств,4420.47,наличный,Брест,Беларусбанк-TAZG-918,23-04-2022,00:07:29,неправильный ввод пин-кода,да,440.2
физ. лицо,списание средств,1066.6,безналичный,Гомель,Беларусбанк-QFPD-502,02-08-2007,03:57:52,успешно,да,84.54
физ. лицо,списание средств,79.32,наличный,Гродно,БелАгропромбанк-FKQK-282,24-11-2003,08:37:04,недостаточно средств,да,0.99
физ. лицо,списание средств,2710.7,безналичный,Гомель,БелАгропромбанк-EAQQ-986,01-09-2007,08:46:34,неправильный ввод пин-кода,да,46.58
физ. лицо,списание средств,314.48,безналичный,Минск,БелАгропромбанк-ACPP-950,11-01-2004,04:00:35,успешно,да,7.33
юр. лицо,списание средств,2108.01,наличный,Минск,МаксБанк-XDWZ-309,22-05-2014,18:15:33,недостаточно средств,да,88.94
физ. лицо,списание средств,4877.52,наличный,Брест,Белинвестбанк-OHTC-828,20-05-2011,07:57:34,неправильный ввод пин-кода,да,279.62
физ. лицо,списание средств,4102.41,наличный,Гродно,Приорбанк-WKTG-201,21-09-2001,07:27:48,недостаточно средств,да,256.36
юр. лицо,списание средств,2966.56,наличный,Брест,МаксБанк-TVKE-777,05-02-2022,05:00:59,недостаточно средств,да,216.55
юр. лицо,списание средств,3528.64,безналичный,Брест,Беларусбанк-CDZJ-442,22-04-2020,06:56:41,недостаточно средств,да,140.74
физ. лицо,списание средств,2320.86,безналичный,Гомель,Беларусбанк-MMDS-860,28-08-2024,13:18:51,неправильный ввод пин-кода,да,204.39
юр. лицо,списание средств,1750.81,безналичный,Гомель,Приорбанк-EVNB-211,27-10-2023,03:10:29,неправильный ввод пин-кода,да,75.8
физ. лицо,списание средств,1167.7,наличный,Минск,МаксБанк-EVYV-432,15-07-2014,02:41:35,успешно,да,68.18
физ. лицо,списание средств,2242.31,безналичный,Брест,Беларусбанк-VAUM-216,30-10-2016,05:27:37,неправильный ввод пин-кода,да,126.17
физ. лицо,списание средств,4926.65,наличный,Витебск,Приорбанк-LMUU-423,24-07-2003,11:55:47,недостаточно средств,да,149.93
физ. лицо,списание средств,1871.2,наличный,Гродно,БелАгропромбанк-AUIR-217,22-10-2005,13:50:23,неправильный ввод пин-кода,да,20.14
физ. лицо,списание средств,248.95,безналичный,Могилев,Беларусбанк-PMMI-337,12-09-2007,13:02:27,неправильный ввод пин-кода,да,6.01
юр. лицо,списание средств,835.45,безналичный,Брест,Белинвестбанк-DWVB-761,06-08-2001,20:38:08,неправильный ввод пин-кода,да,29.18
физ. лицо,списание средств,4748.88,наличный,Витебск,Белинвестбанк-THSS-987,17-08-2021,16:50:26,неправильный ввод пин-кода,да,315.0
юр. лицо,списание средств,2291.3,безналичный,Брест,Белинвестбанк-LGVX-605,24-11-2000,00:07:15,недостаточно средств,да,175.46
юр. лицо,списание средств,142.42,наличный,Гомель,Белинвестбанк-JAUE-038,14-06-2020,14:17:56,неправильный ввод пин-кода,да,2.18
физ. лицо,списание средств,4891.21,безналичный,Могилев,Беларусбанк-DKNI-872,27-07-2018,21:37:19,недостаточно средств,да,112.58
юр. лицо,списание средств,1783.74,безналичный,Могилев,Приорбанк-VQHO-254,22-03-2014,02:05:14,недостаточно средств,да,163.49
физ. лицо,списание средств,4314.26,наличный,Могилев,МаксБанк-YGJS-897,05-03-2001,17:16:56,недостаточно средств,да,197.81
юр. лицо,списание средств,2787.81,наличный,Гомель,БелАгропромбанк-OEEY-757,08-05-2016,12:38:55,неправильный ввод пин-кода,да,118.58
юр. лицо,списание средств,2374.64,наличный,Гродно,БелАгропромбанк-OGLQ-025,21-09-2000,16:40:01,неправильный ввод пин-кода,да,217.26
юр. лицо,списание средств,1701.99,безналичный,Гродно,БелАгропромбанк-TGWO-958,25-03-2005,05:42:48,неправильный ввод пин-кода,да,158.57
юр. лицо,списание средств,3213.47,наличный,Гродно,Белинвестбанк-LEBJ-187,25-04-2006,13:50:05,неправильный ввод пин-кода,да,97.62
юр. лицо,списание средств,2427.81,безналичный,Витебск,Приорбанк-WCED-366,27-08-2024,16:01:17,успешно,да,162.85
физ. лицо,списание средств,3112.75,наличный,Брест,Беларусбанк-IEGJ-254,26-08-2019,16:21:46,успешно,да,220.67
физ. лицо,списание средств,638.36,наличный,Брест,Беларусбанк-MEFM-925,05-09-2008,03:13:19,недостаточно средств,да,35.91
юр. лицо,списание средств,1616.41,наличный,Могилев,МаксБанк-DJFN-359,11-01-2017,15:28:17,недостаточно средств,да,129.94
физ. лицо,списание средств,4489.73,наличный,Минск,Белинвестбанк-JHXH-187,23-09-2022,09:22:26,недостаточно средств,да,367.19
юр. лицо,списание средств,4966.68,наличный,Могилев,Белинвестбанк-QCVU-885,24-12-2014,08:58:07,недостаточно средств,да,71.42
физ. лицо,списание средств,2616.44,наличный,Брест,Белинвестбанк-JCWX-604,13-07-2017,01:16:49,неправильный ввод пин-кода,да,56.5
физ. лицо,списание средств,714.48,наличный,Гродно,Приорбанк-DCHD-195,29-05-2018,17:39:35,неправильный ввод пин-кода,да,53.57
физ. лицо,списание средств,3061.63,безналичный,Гомель,Беларусбанк-LCVQ-613,24-08-2021,22:08:25,недостаточно средств,да,183.29
юр. лицо,списание средств,994.61,наличный,Гомель,БелАгропромбанк-GCVA-157,18-01-2020,15:43:50,неправильный ввод пин-кода,да,25.4
физ. лицо,списание средств,4998.91,безналичный,Гомель,БелАгропромбанк-FHMB-819,13-09-2002,10:38:26,недостаточно средств,да,207.33
юр. лицо,списание средств,4253.88,наличный,Гродно,МаксБанк-TBEG-943,14-03-2015,16:09:20,успешно,да,48.01
физ. лицо,списание средств,606.09,безналичный,Гомель,Приорбанк-DFFR-840,31-03-2015,09:55:22,успешно,да,32.89
юр. лицо,списание средств,2419.46,наличный,Гомель,Приорбанк-ZGZO-152,14-05-2012,22:07:10,успешно,да,103.89
юр. лицо,списание средств,2620.21,безналичный,Гродно,МаксБанк-ASKD-289,28-12-2001,22:05:05,недостаточно средств,да,257.68
физ. лицо,списание средств,705.84,наличный,Гомель,Беларусбанк-ZTHX-790,10-04-2002,13:53:44,неправильный ввод пин-кода,да,20.89
юр. лицо,списание средств,2269.05,наличный,Могилев,БелАгропромбанк-DZOR-077,10-04-2012,06:50:25,неправильный ввод пин-кода,да,139.99
физ. лицо,списание средств,3589.6,наличный,Витебск,БелАгропромбанк-VUGS-464,27-01-2002,05:27:21,неправильный ввод пин-кода,да,358.62
физ. лицо,списание средств,1700.91,наличный,Гомель,Приорбанк-XPVR-583,03-10-2016,06:00:31,неправильный ввод пин-кода,да,138.51
физ. лицо,списание средств,278.18,наличный,Витебск,Белинвестбанк-IAFR-807,25-02-2014,03:22:01,неправильный ввод пин-кода,да,19.68
юр. лицо,списание средств,2848.8,наличный,Гродно,Приорбанк-HUKQ-561,20-12-2016,06:27:35,недостаточно средств,да,213.78
юр. лицо,списание средств,1562.05,безналичный,Гродно,Белинвестбанк-MFIJ-412,23-04-2009,07:38:46,неправильный ввод пин-кода,да,111.62
физ. лицо,списание средств,2342.23,наличный,Гомель,БелАгропромбанк-EBYE-218,04-04-2009,07:33:43,недостаточно средств,да,132.36
юр. лицо,списание средств,2500.17,безналичный,Могилев,Приорбанк-LDHE-202,09-04-2014,13:46:14,неправильный ввод пин-кода,да,122.93
физ. лицо,списание средств,3356.15,наличный,Могилев,Приорбанк-HZYI-054,18-03-2022,13:35:25,неправильный ввод пин-кода,да,155.25
физ. лицо,списание средств,3118.65,наличный,Гродно,МаксБанк-PSUH-873,23-07-2016,15:13:33,неправильный ввод пин-кода,да,201.06
физ. лицо,списание средств,2544.85,безналичный,Брест,БелАгропромбанк-GSEL-705,10-08-2017,17:16:08,неправильный ввод пин-кода,да,223.62
физ. лицо,списание средств,3866.95,безналичный,Могилев,Белинвестбанк-VNSN-950,12-02-2023,05:41:16,недостаточно средств,да,225.56
физ. лицо,списание средств,1714.12,наличный,Брест,БелАгропромбанк-KURS-085,25-09-2001,20:52:00,успешно,да,26.17
юр. лицо,списание средств,1942.49,наличный,Гомель,Беларусбанк-TOUS-074,14-05-2006,13:30:48,успешно,да,107.07
физ. лицо,списание средств,435.8,наличный,Брест,БелАгропромбанк-OZEV-346,10-01-2004,01:45:24,недостаточно средств,да,37.18
физ. лицо,списание средств,3241.46,безналичный,Могилев,БелАгропромбанк-VAYF-227,09-06-2018,07:05:37,успешно,да,256.57
физ. лицо,списание средств,58.87,безналичный,Гродно,МаксБанк-YPJI-754,10-09-2010,07:28:54,недостаточно средств,да,5.76
юр. лицо,списание средств,1158.39,безналичный,Брест,Беларусбанк-DFDV-995,05-07-2001,21:01:12,успешно,да,93.36
юр. лицо,списание средств,3533.36,наличный,Витебск,Беларусбанк-KJDH-938,26-04-2007,15:11:12,недостаточно средств,да,308.36
юр. лицо,списание средств,1943.58,наличный,Брест,Белинвестбанк-AMLY-858,02-12-2009,20:41:06,успешно,да,186.77
физ. лицо,списание средств,2679.28,наличный,Брест,Белинвестбанк-RYON-188,16-02-2011,21:46:34,недостаточно средств,да,198.9
юр. лицо,списание средств,4164.67,наличный,Могилев,МаксБанк-GMGX-446,20-01-2007,11:57:58,неправильный ввод пин-кода,да,372.19
юр. лицо,списание средств,4159.66,наличный,Гомель,Белинвестбанк-EYIF-773,18-01-2012,17:34:20,успешно,да,348.36
юр. лицо,списание средств,4771.67,наличный,Витебск,БелАгропромбанк-NCLW-262,08-06-2001,01:23:35,недостаточно средств,да,400.47
физ. лицо,списание средств,3359.84,наличный,Брест,БелАгропромбанк-RPHM-166,27-10-2002,03:16:22,успешно,да,259.46
физ. лицо,списание средств,2027.54,наличный,Гомель,МаксБанк-AKHX-399,04-03-2008,20:41:33,успешно,да,99.05
юр. лицо,списание средств,923.72,безналичный,Витебск,Приорбанк-EJFY-583,02-10-2024,17:11:51,неправильный ввод пин-кода,да,61.33
юр. лицо,списание средств,477.4,наличный,Гомель,БелАгропромбанк-LQHV-407,20-09-2003,03:51:04,неправильный ввод пин-кода,да,34.97
юр. лицо,списание средств,3423.68,наличный,Брест,МаксБанк-WIHY-937,26-08-2002,07:33:39,успешно,да,59.4
юр. лицо,списание средств,4028.84,наличный,Витебск,МаксБанк-KZPM-593,25-01-2011,04:49:42,неправильный ввод пин-кода,да,345.75
юр. лицо,списание средств,3388.57,безналичный,Минск,Приорбанк-ICUR-757,26-02-2018,11:16:33,неправильный ввод пин-кода,да,243.8
юр. лицо,списание средств,962.69,наличный,Гродно,Приорбанк-HBLY-669,11-06-2004,20:57:14,неправильный ввод пин-кода,да,26.5
физ. лицо,списание средств,703.75,наличный,Витебск,Беларусбанк-PTNU-028,12-09-2007,22:50:25,успешно,да,14.03
физ. лицо,списание средств,420.67,наличный,Могилев,МаксБанк-MWXZ-384,27-12-2006,07:17:04,успешно,да,6.0
юр. лицо,списание средств,818.72,наличный,Гродно,Белинвестбанк-OXPN-891,21-05-2001,07:00:27,недостаточно средств,да,80.64
юр. лицо,списание средств,142.38,наличный,Гродно,МаксБанк-ANQV-341,23-11-2005,11:51:22,успешно,да,12.84
юр. лицо,списание средств,453.03,безналичный,Брест,Приорбанк-PEZV-221,18-01-2007,20:21:50,недостаточно средств,да,24.72
физ. лицо,списание средств,2189.01,наличный,Могилев,Беларусбанк-UFYZ-861,25-09-2015,10:09:53,недостаточно средств,да,216.78
юр. лицо,списание средств,2769.97,наличный,Минск,Приорбанк-NNRP-449,26-11-2000,10:14:05,недостаточно средств,да,230.73
юр. лицо,списание средств,2897.29,наличный,Могилев,Белинвестбанк-TDKJ-977,16-06-2005,19:50:41,успешно,да,197.86
юр. лицо,списание средств,2437.69,наличный,Могилев,Белинвестбанк-QJJD-815,20-02-2024,08:21:38,недостаточно средств,да,117.73
физ. лицо,списание средств,2577.57,наличный,Гомель,Приорбанк-KFXQ-934,24-06-2004,23:24:07,успешно,да,244.56
юр. лицо,списание средств,726.96,наличный,Могилев,МаксБанк-UYMF-954,07-03-2018,07:58:53,недостаточно средств,да,67.84
физ. лицо,списание средств,4508.57,безналичный,Минск,Беларусбанк-RNAE-784,13-12-2013,08:42:40,недостаточно средств,да,115.59
физ. лицо,списание средств,1213.55,наличный,Гродно,МаксБанк-RSNA-973,10-08-2007,08:30:43,неправильный ввод пин-кода,да,106.21
юр. лицо,списание средств,3536.06,безналичный,Могилев,Белинвестбанк-QOLW-228,22-02-2019,18:33:36,недостаточно средств,да,192.19
юр. лицо,списание средств,407.27,наличный,Гродно,Приорбанк-VRKT-401,06-03-2018,09:12:11,успешно,да,21.59
юр. лицо,списание средств,2382.27,безналичный,Гродно,МаксБанк-PNXG-156,23-08-2020,09:51:18,недостаточно средств,да,107.86
физ. лицо,списание средств,4024.38,безналичный,Витебск,Белинвестбанк-GWWL-824,24-09-2009,13:04:42,успешно,да,181.96
физ. лицо,списание средств,1298.28,наличный,Минск,Белинвестбанк-YEOT-685,08-12-2010,11:03:04,недостаточно средств,да,102.09
юр. лицо,списание средств,2541.28,безналичный,Минск,МаксБанк-IYOT-318,10-05-2005,20:49:20,успешно,да,192.3
физ. лицо,списание средств,212.38,безналичный,Брест,Приорбанк-GKCG-203,13-08-2020,08:33:25,неправильный ввод пин-кода,да,20.06
физ. лицо,списание средств,1190.69,наличный,Могилев,Беларусбанк-SPLU-611,25-01-2000,09:19:07,успешно,да,24.61
юр. лицо,списание средств,2015.69,наличный,Минск,Приорбанк-WQME-150,21-05-2005,11:42:12,успешно,да,179.44
юр. лицо,списание средств,3450.71,безналичный,Гродно,Беларусбанк-PLTX-693,01-02-2012,08:03:19,неправильный ввод пин-кода,да,241.71
юр. лицо,списание средств,3231.47,безналичный,Могилев,Приорбанк-DETW-185,10-08-2007,18:35:00,неправильный ввод пин-кода,да,206.62
физ. лицо,списание средств,739.34,безналичный,Могилев,Белинвестбанк-IYPJ-434,22-11-2007,22:38:09,неправильный ввод пин-кода,да,53.74
физ. лицо,списание средств,4013.41,безналичный,Гродно,Приорбанк-ALDN-740,30-01-2008,07:51:17,успешно,да,337.49
физ. лицо,списание средств,979.83,наличный,Брест,Белинвестбанк-GXQS-412,30-01-2009,08:22:02,успешно,да,63.14
физ. лицо,списание средств,2179.81,безналичный,Минск,Белинвестбанк-XMFN-092,03-10-2022,00:18:40,неправильный ввод пин-кода,да,46.06
юр. лицо,списание средств,3877.91,наличный,Витебск,Беларусбанк-GNIL-642,25-11-2011,11:29:12,успешно,да,328.01
юр. лицо,списание средств,608.24,наличный,Витебск,МаксБанк-ACIY-096,09-03-2024,07:39:01,неправильный ввод пин-кода,да,56.6
юр. лицо,списание средств,3248.04,безналичный,Гомель,Белинвестбанк-ZEFV-987,26-04-2009,18:27:35,недостаточно средств,да,168.56
юр. лицо,списание средств,3212.94,наличный,Гомель,Беларусбанк-WFUD-495,31-12-2006,08:29:20,недостаточно средств,да,157.71
юр. лицо,списание средств,3434.12,безналичный,Витебск,Приорбанк-SDXK-169,05-05-2001,17:48:11,недостаточно средств,да,66.87
юр. лицо,списание средств,624.93,наличный,Брест,Беларусбанк-IBNI-103,06-04-2007,19:28:12,неправильный ввод пин-кода,да,61.21
физ. лицо,списание средств,1882.14,безналичный,Гродно,Приорбанк-TAWV-957,16-07-2007,10:43:44,недостаточно средств,да,97.67
физ. лицо,списание средств,2824.4,наличный,Минск,БелАгропромбанк-XFFC-293,19-03-2014,22:33:46,успешно,да,271.72
юр. лицо,списание средств,1605.01,безналичный,Витебск,БелАгропромбанк-GZCZ-776,08-12-2008,03:56:58,успешно,да,147.33
юр. лицо,списание средств,3067.78,безналичный,Гомель,Белинвестбанк-YBON-962,20-12-2014,23:31:42,недостаточно средств,да,281.45
юр. лицо,списание средств,4353.36,наличный,Гомель,БелАгропромбанк-SQRL-667,08-04-2003,11:21:02,неправильный ввод пин-кода,да,49.11
юр. лицо,списание средств,3043.51,безналичный,Витебск,Приорбанк-CMWD-249,19-08-2012,09:40:17,успешно,да,47.52
юр. лицо,списание средств,1821.51,безналичный,Могилев,МаксБанк-QAXD-199,03-11-2011,22:58:43,успешно,да,115.63
юр. лицо,списание средств,4632.26,безналичный,Могилев,БелАгропромбанк-JRMY-585,30-09-2020,16:44:24,успешно,да,128.38
юр. лицо,списание средств,2983.04,наличный,Минск,Беларусбанк-ITXE-966,14-08-2006,08:09:20,успешно,да,271.82
юр. лицо,списание средств,968.4,безналичный,Гомель,МаксБанк-JDQK-929,29-03-2016,16:58:56,неправильный ввод пин-кода,да,14.56
юр. лицо,списание средств,2309.2,безналичный,Гомель,МаксБанк-NGOP-514,23-06-2018,14:52:21,неправильный ввод пин-кода,да,113.84
физ. лицо,списание средств,3031.62,наличный,Брест,Беларусбанк-JFIQ-163,04-04-2020,23:50:08,успешно,да,47.62
юр. лицо,списание средств,4652.53,безналичный,Брест,Беларусбанк-XPSO-437,03-11-2008,07:43:37,недостаточно средств,да,161.82
физ. лицо,списание средств,1696.91,наличный,Минск,Приорбанк-HUWN-937,19-01-2023,23:25:13,недостаточно средств,да,81.0
физ. лицо,списание средств,3090.09,наличный,Минск,БелАгропромбанк-ENXS-279,17-04-2012,23:13:35,неправильный ввод пин-кода,да,52.16
юр. лицо,списание средств,1098.26,безналичный,Брест,МаксБанк-QNKF-797,23-05-2012,21:32:07,недостаточно средств,да,42.39
